milliseconds, deg_Centigrade, pascals, meters
392696,25,101557,0
393292,25,101563,0
393888,25,101565,0
394484,25,101561,0
395080,25,101564,0
395676,25,101555,0
396272,25,101555,0
396868,25,101555,0
397464,25,101559,0
398060,25,101564,0
398656,25,101564,0
399252,25,101562,0
399848,25,101562,0
400444,25,101555,0
401040,25,101559,0
401636,25,101562,0
402232,25,101558,0
402828,25,101567,0
403424,25,101564,0
404020,25,101555,0
404616,25,101556,0
405212,25,101564,0
405808,25,101569,0
406404,25,101566,0
407000,25,101560,0
407596,25,101564,0
408192,25,101554,0
408787,25,101560,0
409383,25,101568,0
409979,25,101556,0
410575,25,101563,0
411171,25,101559,0
411767,25,101558,0
412363,25,101556,0
412959,25,101564,0
413555,25,101562,0
414151,25,101562,0
414747,25,101563,0
415343,25,101566,-1
415940,25,101563,0
416536,25,101558,0
417132,25,101563,0
417728,25,101564,0
418324,25,101562,0
418920,25,101562,0
419516,25,101557,0
420112,25,101564,0
420708,25,101560,0
421304,25,101562,0
421900,25,101555,0
422496,25,101555,0
423092,25,101564,0
423688,25,101563,0
424284,25,101564,0
424880,25,101561,0
425476,25,101563,0
426072,25,101552,0
426668,25,101560,0
427264,25,101563,0
427859,25,101553,0
428455,25,101563,0
429051,25,101566,0
429647,25,101556,0
430243,25,101555,0
430839,25,101566,0
431435,25,101561,0
432031,25,101568,-1
432628,25,101559,-1
433225,25,101563,0
433821,25,101562,0
434417,25,101556,0
435013,25,101565,0
435609,25,101561,-1
436206,25,101568,0
436802,25,101566,0
437398,25,101560,0
437994,25,101572,0
438590,25,101569,0
439186,25,101555,0
439782,25,101567,0
440378,25,101568,-1
440975,25,101562,0
441571,25,101563,-1
442168,25,101564,-1
442765,26,101562,0
443361,25,101570,0
443957,25,101568,0
444553,25,101563,-1
445150,25,101562,0
445746,25,101560,0
446342,25,101559,0
446938,26,101567,-1
447535,26,101562,-1
448132,26,101565,-1
448729,26,101565,0
449325,26,101573,0
449921,25,101566,0
450516,26,101573,-1
451113,26,101566,-1
451710,25,101561,-1
452307,25,101559,0
452903,26,101566,0
453499,26,101566,0
454095,26,101564,-1
454692,26,101564,-1
455289,26,101574,0
455885,25,101567,-1
456482,25,101567,0
457078,26,101569,-1
457675,26,101569,-1
458272,26,101565,-1
458869,25,101567,-1
459466,26,101570,-1
460063,25,101569,-1
460660,26,101572,0
461256,26,101563,-1
461853,25,101568,-1
462450,26,101571,0
463046,26,101567,-1
463643,26,101572,-1
464240,26,101564,0
464836,25,101568,-1
465433,25,101555,0
466029,26,101565,-1
466626,26,101564,0
467222,26,101568,0
467818,26,101565,-1
468415,26,101566,-1
469012,26,101567,-1
469609,26,101565,-1
470206,26,101571,0
470802,26,101566,0
471398,26,101564,0
471994,26,101567,0
472590,26,101566,-1
473187,26,101567,-1
473784,26,101568,0
474380,26,101563,0
474975,26,101564,0
475571,26,101561,0
476167,26,101564,0
476763,26,101565,0
477359,26,101564,0
477955,26,101562,0
478551,26,101562,0
479147,26,101561,-1
479744,26,101566,-1
480340,26,101563,0
480936,26,101566,0
481532,26,101563,0
482128,26,101561,0
482724,26,101559,0
483320,26,101560,0
483916,26,101567,0
484512,26,101566,0
485108,26,101561,0
485704,26,101565,0
486300,26,101560,0
486896,26,101566,0
487492,26,101567,0
488088,26,101563,0
488684,26,101563,-1
489281,26,101565,0
489877,26,101570,-1
490474,26,101572,-1
491071,26,101565,0
491667,26,101567,-1
492264,26,101565,0
492860,26,101569,0
493456,26,101566,0
494052,26,101563,0
494648,26,101567,0
495244,26,101566,-1
495841,26,101571,-1
496438,26,101567,0
497034,26,101565,0
497630,26,101559,-1
498227,26,101565,-1
498824,26,101563,0
499420,26,101565,0
500016,26,101566,-1
500613,26,101566,0
501209,26,101571,0
501805,26,101565,-1
502402,26,101563,-1
502999,26,101560,0
503595,26,101564,0
504190,26,101570,0
504786,26,101566,0
505382,26,101568,-1
505979,26,101570,-1
506576,26,101564,-1
507173,26,101563,-1
507770,26,101567,-1
508367,26,101571,-1
508964,26,101565,-1
509561,26,101570,0
510157,26,101563,0
510753,26,101573,-1
511350,26,101566,0
511946,26,101570,0
512542,26,101569,0
513138,26,101563,0
513734,26,101567,-1
514331,26,101567,0
514927,26,101570,0
515523,26,101567,0
516119,26,101564,0
516715,26,101571,-1
517312,26,101568,-1
517909,26,101569,-1
518506,26,101572,-1
519103,26,101565,-1
519700,26,101573,0
520296,26,101566,-1
520893,26,101570,-1
521490,26,101570,-1
522087,26,101570,-1
522684,26,101575,-1
523281,26,101569,-1
523878,26,101567,0
524474,26,101563,-1
525071,26,101565,-1
525668,26,101570,-1
526265,26,101565,-1
526862,26,101567,0
527458,26,101569,-1
